"id","price"
2085,260.96
2303,109.62
2111,298.09
2794,288.07
2797,226.92
2801,252.25
2793,174.06
2371,190.16
1846,238.93
2795,144.98
2792,30.05
2798,274.76
2799,18.65
2800,42.64
2802,109.82
2514,284.20
2305,266.84
2040,133.70
2048,196.62
2042,79.13
1956,141.81
2803,18.05
2361,19.08
2585,271.29
2477,10.38
2796,25.83
1452,4.00
2505,132.20
2506,21.56
2046,200.38
1349,162.87
2807,64.44
2834,291.49
2809,233.76
2810,33.23
2812,299.08
2813,18.56
2815,96.16
2816,91.13
2818,285.48
2819,282.28
2825,37.12
2821,7.19
2829,81.50
2830,230.43
1397,56.48
2126,128.33
2822,29.08
1545,7.72
2356,147.89
1535,44.82
2811,108.16
1736,51.20
2804,7.55
2826,30.07
2831,6.16
2837,148.58
2832,73.89
2820,136.55
2814,218.72
2806,139.21
2823,23.48
1537,78.95
2824,111.78
2841,232.69
2842,188.37
2843,147.66
2844,18.65
2847,121.71
2848,90.12
2849,66.02
2850,31.62
2851,276.84
2856,193.57
2857,32.08
2846,60.19
2634,134.94
1822,82.74
1842,76.49
1710,179.77
1517,219.65
1673,137.18
2817,14.16
1285,79.42
2853,277.56
1266,155.52
2291,175.61
2855,35.43
2355,258.12
2845,18.15
2805,270.94
2840,92.24
1520,227.99
2862,16.33
2864,64.21
2866,18.60
2870,177.12
2872,92.06
2873,22.38
2868,29.76
2863,151.44
2871,133.99
2858,148.46
2854,223.32
2861,34.86
1424,161.88
2852,210.70
2860,266.70
1632,198.66
1290,202.42
2316,144.87
2865,199.26
1562,143.48
2669,114.12
2867,229.19
2886,72.97
2874,172.10
2876,158.10
2880,114.09
2881,148.23
2882,158.58
2883,136.29
2884,229.30
2406,90.95
2888,110.42
2889,125.07
2896,194.41
2897,78.38
2899,165.54
2902,26.54
2903,216.27
2904,20.35
2879,217.92
2482,235.17
2890,179.65
2900,132.08
2893,127.27
2891,80.11
2878,114.23
2885,162.38
2887,140.25
2905,146.63
2447,160.98
2892,279.64
2877,131.44
2909,114.24
1735,258.65
2910,254.55
2911,61.59
2912,258.42
2913,228.10
2914,45.68
2835,51.19
2901,166.15
2752,48.93
2756,198.86
2915,175.75
2916,94.87
2917,299.54
2918,209.07
2919,7.72
2920,175.14
2921,67.16
2541,163.65
2925,256.59
2928,206.59
2929,26.88
2930,95.51
1885,98.62
1459,234.26
1782,147.73
2833,13.23
2931,228.88
2924,213.00
2906,292.39
1572,51.36
1991,30.77
2933,72.17
2932,53.04
2839,194.03
2869,16.22
2927,82.39
2923,96.94
2922,168.34
1841,270.73
2926,100.25
2397,188.74
2619,282.77
2934,16.68
1787,123.95
2936,104.63
1831,199.45
2382,102.76
2281,136.55
2343,166.39
2280,174.27
1271,33.12
2735,39.56
2937,192.94
2938,282.89
2939,55.94
2941,90.92
2942,294.52
2943,264.54
1432,258.30
2944,157.70
2020,25.51
2948,66.66
2951,41.60
2952,72.59
2953,57.31
2399,58.32
2945,191.96
2946,248.64
2947,43.41
1896,199.27
2940,212.73
1295,155.69
2949,11.28
2004,104.24
2035,140.00
1421,92.96
2489,45.46
1392,30.37
2315,235.12
1834,113.10
1450,109.72
1461,238.64
1485,123.15
2375,51.69
1855,101.37
1747,135.40
1480,233.24
2345,104.04
1258,135.27
2491,90.89
1460,95.34
2520,261.86
2321,218.39
1605,59.02
1630,150.17
2015,76.46
1686,199.01
1592,79.80
2023,48.28
1173,154.67
2245,56.27
2246,41.37
2242,34.78
2239,219.08
1247,238.54
2516,6.44
2530,153.44
1286,69.08
2002,59.84
1931,271.06
2266,244.98
2248,74.53
2483,222.14
1246,220.99
1194,267.71
1193,210.02
2663,55.52
2668,280.74
2473,31.16
2561,297.68
1708,141.58
1891,219.76
2678,3.62
1188,73.60
1707,130.00
1690,276.61
1784,236.93
2583,21.99
2564,150.98
2320,99.70
1575,40.14
2556,36.66
1622,287.25
1649,269.89
2578,33.64
2513,266.31
2574,84.34
1961,176.35
1801,26.46
1425,285.21
1426,253.31
1595,151.07
1919,173.79
2384,196.50
1536,58.64
1405,144.06
2041,202.95
2570,128.99
2515,273.50
2448,23.97
2531,130.66
2370,123.35
1576,45.59
1596,131.95
2544,142.38
1623,224.23
1772,222.82
1310,191.57
2557,259.59
2566,0.71
2446,268.87
2575,86.21
1265,85.90
1773,105.16
1929,123.52
2555,260.62
1709,97.19
1711,257.32
1844,160.00
1839,281.91
1920,226.47
2569,294.42
2329,140.28
1218,205.88
2357,184.95
2373,174.27
1292,278.88
2573,144.76
1577,265.00
1624,43.09
2571,298.01
2558,11.91
2580,183.09
1172,191.86
2385,283.53
2297,135.39
2554,140.34
1510,120.59
1574,241.85
2476,283.39
2545,211.23
2532,208.55
2451,204.36
1794,127.75
2393,209.64
2572,55.74
2539,34.28
1578,291.90
1417,131.20
1466,106.00
1267,56.66
1579,83.82
1499,130.53
1571,298.74
1439,59.58
1383,198.88
1680,259.48
2444,111.12
1396,98.30
1404,205.09
1482,270.22
1702,55.02
1428,280.66
1250,173.84
1758,174.15
1554,181.25
2546,215.35
1764,215.07
2322,244.13
2584,211.13
2533,67.74
1506,298.28
2568,153.42
1580,72.17
1581,292.49
1717,201.31
2548,58.74
1301,154.07
1582,193.35
1583,122.68
1400,261.09
1569,24.88
1377,201.16
1599,122.34
1606,110.97
2581,153.67
1394,265.56
2112,117.50
1543,266.58
1401,281.91
1757,212.51
1551,257.86
2295,270.00
2540,58.68
1399,241.84
1416,136.53
1481,63.32
1883,118.72
2413,18.13
2442,157.44
2432,142.31
1278,128.09
1607,45.15
1603,282.76
1171,24.34
1943,149.46
2547,14.97
1765,15.74
2453,296.01
2452,296.67
2304,76.47
2420,44.86
2549,209.02
2586,45.12
2379,188.21
1573,79.84
1725,97.01
